period,analyst,composite_rank,mape,bias,num_predictions,buy_accuracy_0.25,buy_accuracy_0.5,buy_accuracy_0.75,sell_accuracy_0.25,sell_accuracy_0.5,sell_accuracy_0.75
3m,Canaccord Genuity,2.00,1.99,-1.99,1,100.00,100.00,100.00,N/A,N/A,
3m,New Street Research,4.33,3.23,3.23,1,0.00,0.00,0.00,N/A,N/A,
3m,"Keefe, Bruyette & Woods",5.00,0.12,0.12,1,100.00,100.00,100.00,N/A,N/A,
3m,DA Davidson,5.33,4.23,4.23,1,100.00,100.00,0.00,N/A,N/A,
3m,Gordon Haskett,6.00,2.86,2.86,1,100.00,100.00,0.00,N/A,N/A,
3m,Truist Securities,10.33,6.17,-6.17,1,100.00,100.00,100.00,N/A,N/A,
3m,Odeon Capital,10.67,4.51,-4.51,1,100.00,100.00,100.00,N/A,N/A,
3m,Wolfe Research,11.00,3.39,3.39,2,100.00,100.00,100.00,N/A,N/A,
3m,DZ Bank,11.67,4.66,-4.66,1,N/A,N/A,N/A,0.00,0.00,0.00
3m,Scotiabank,14.00,6.71,6.71,1,100.00,100.00,0.00,N/A,N/A,
3m,Morgan Stanley,14.33,14.54,0.30,2,100.00,50.00,50.00,N/A,N/A,
3m,UBS,15.00,7.86,3.98,6,100.00,80.00,40.00,100.00,100.00,0.00
3m,Macquarie,15.00,12.82,12.82,1,0.00,0.00,0.00,N/A,N/A,
3m,Daiwa Capital,15.33,9.67,9.67,1,0.00,0.00,0.00,N/A,N/A,
3m,Baird,17.67,9.01,9.01,4,100.00,50.00,0.00,N/A,N/A,
3m,Deutsche Bank,17.67,10.88,4.90,5,100.00,60.00,40.00,N/A,N/A,
3m,Roth MKM,18.33,15.34,15.34,1,100.00,0.00,0.00,N/A,N/A,
3m,Evercore ISI Group,19.00,13.10,8.16,4,75.00,50.00,25.00,N/A,N/A,
3m,Raymond James,21.00,11.16,8.25,5,60.00,40.00,40.00,N/A,N/A,
3m,Northcoast Research,21.33,15.93,-15.93,1,N/A,N/A,N/A,0.00,0.00,0.00
3m,Wells Fargo,24.33,13.35,13.35,8,25.00,12.50,0.00,N/A,N/A,
3m,MoffettNathanson,24.67,24.36,5.59,2,0.00,0.00,0.00,0.00,0.00,0.00
3m,Piper Sandler,25.67,13.50,13.50,4,25.00,0.00,0.00,N/A,N/A,
3m,Oppenheimer,25.67,16.63,12.93,6,50.00,33.33,16.67,N/A,N/A,
3m,Citigroup,26.00,15.70,11.94,7,16.67,16.67,16.67,0.00,0.00,0.00
3m,Bernstein,27.00,14.45,14.45,2,50.00,50.00,0.00,N/A,N/A,
3m,Stifel,27.00,16.38,-8.45,3,100.00,66.67,66.67,N/A,N/A,
3m,JMP Securities,28.00,24.66,24.66,1,0.00,0.00,0.00,N/A,N/A,
3m,TD Cowen,28.33,18.14,18.14,3,66.67,0.00,0.00,N/A,N/A,
3m,BMO Capital,28.67,16.44,9.81,4,33.33,33.33,33.33,0.00,0.00,0.00
3m,B of A Securities,29.33,17.12,15.48,5,60.00,20.00,20.00,N/A,N/A,
3m,Barclays,30.33,16.94,16.94,4,25.00,25.00,0.00,N/A,N/A,
3m,Rosenblatt,31.00,40.38,40.38,1,0.00,0.00,0.00,N/A,N/A,
3m,JP Morgan,31.67,16.50,16.14,7,71.43,28.57,14.29,N/A,N/A,
3m,Guggenheim,33.33,43.53,43.53,1,0.00,0.00,0.00,N/A,N/A,
3m,Northland Capital Markets,33.33,35.16,35.16,1,0.00,0.00,0.00,N/A,N/A,
3m,Berenberg,34.00,28.23,28.23,1,0.00,0.00,0.00,N/A,N/A,
3m,Goldman Sachs,35.00,23.67,15.27,6,20.00,20.00,20.00,0.00,0.00,0.00
3m,Jefferies,35.33,20.55,20.55,8,25.00,12.50,0.00,N/A,N/A,
3m,CFRA,36.33,48.05,48.05,1,0.00,0.00,0.00,N/A,N/A,
3m,Wedbush,36.67,20.58,19.18,4,50.00,25.00,25.00,N/A,N/A,
3m,Keybanc,38.00,23.07,18.78,3,33.33,33.33,33.33,N/A,N/A,
3m,Susquehanna,38.00,22.08,22.08,5,60.00,20.00,20.00,N/A,N/A,
3m,Loop Capital,39.33,22.51,22.51,3,33.33,33.33,33.33,N/A,N/A,
3m,Tigress Financial,40.67,33.32,33.32,3,0.00,0.00,0.00,N/A,N/A,
